isolate	comparedTo_iso	method_1	sanity_check	YN00_dN		YN00_dN_SE		YN00_kappa		YN00_dS_SE		YN00_N		YN00_S		YN00_t		YN00_omega		YN00_dS	method_2		LWL85m_dN		LWL85m_w		LWL85m_N		LWL85m_S		LWL85m_rho		LWL85m_dS	method3		LPB93_dN		LPB93_dS		LPB93_w	method4		LWL85_dN		LWL85_S		LWL85_dS		LWL85_w		LWL85_N	method5		NG86_dN		NG86_omega		NG86_dS
SRR10957314	SRR13259104	YN00	YN00_dN	0.0028	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404737.3	YN00_S	125974.7	YN00_t	0.0281	YN00_omega	0.0903	YN00_dS	0.0306	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1214	LWL85m_N	386251.0	LWL85m_S	144460.0	LWL85m_rho	None	LWL85m_dS	0.025	LPB93	LPB93_dN	0.003	LPB93_dS	0.026	LPB93_w	0.1201	LWL85	LWL85_dN	0.002	LWL85_S	116438.0	LWL85_dS	0.032	LWL85_w	0.0912	LWL85_N	414273.0	NG86	NG86_dN	0.0028	NG86_omega	0.0902	NG86_dS	0.0306
SRR10957314	SRR5449044	YN00	YN00_dN	0.0024	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404747.5	YN00_S	125964.5	YN00_t	0.0245	YN00_omega	0.0893	YN00_dS	0.0267	LWL85m	LWL85m_dN	0.002	LWL85m_w	0.1185	LWL85m_N	387610.0	LWL85m_S	143102.0	LWL85m_rho	None	LWL85m_dS	0.022	LPB93	LPB93_dN	0.002	LPB93_dS	0.023	LPB93_w	0.1172	LWL85	LWL85_dN	0.002	LWL85_S	116429.0	LWL85_dS	0.028	LWL85_w	0.0902	LWL85_N	414282.0	NG86	NG86_dN	0.0024	NG86_omega	0.0892	NG86_dS	0.0268
SRR10957314	MG1357_maxbin_09	YN00	YN00_dN	0.0032	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404730.9	YN00_S	125981.1	YN00_t	0.0323	YN00_omega	0.0919	YN00_dS	0.035	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1202	LWL85m_N	387233.0	LWL85m_S	143478.0	LWL85m_rho	None	LWL85m_dS	0.029	LPB93	LPB93_dN	0.003	LPB93_dS	0.03	LPB93_w	0.119	LWL85	LWL85_dN	0.003	LWL85_S	116428.0	LWL85_dS	0.036	LWL85_w	0.0911	LWL85_N	414283.0	NG86	NG86_dN	0.0032	NG86_omega	0.0919	NG86_dS	0.035
SRR10957314	SRR10957311	YN00	YN00_dN	0.0028	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404732.4	YN00_S	125979.6	YN00_t	0.0259	YN00_omega	0.1014	YN00_dS	0.0274	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1332	LWL85m_N	387744.0	LWL85m_S	142967.0	LWL85m_rho	None	LWL85m_dS	0.023	LPB93	LPB93_dN	0.003	LPB93_dS	0.023	LPB93_w	0.1325	LWL85	LWL85_dN	0.002	LWL85_S	116436.0	LWL85_dS	0.028	LWL85_w	0.1015	LWL85_N	414275.0	NG86	NG86_dN	0.0028	NG86_omega	0.1012	NG86_dS	0.0274
SRR10957314	SRR5945977	YN00	YN00_dN	0.0033	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404745.1	YN00_S	125966.9	YN00_t	0.0309	YN00_omega	0.1027	YN00_dS	0.0326	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.136	LWL85m_N	385513.0	LWL85m_S	145198.0	LWL85m_rho	None	LWL85m_dS	0.027	LPB93	LPB93_dN	0.003	LPB93_dS	0.027	LPB93_w	0.1348	LWL85	LWL85_dN	0.003	LWL85_S	116436.0	LWL85_dS	0.034	LWL85_w	0.1015	LWL85_N	414275.0	NG86	NG86_dN	0.0033	NG86_omega	0.1026	NG86_dS	0.0326
SRR10957314	ERR1939904	YN00	YN00_dN	0.0029	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404740.2	YN00_S	125971.8	YN00_t	0.0263	YN00_omega	0.1044	YN00_dS	0.0277	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1407	LWL85m_N	385324.0	LWL85m_S	145387.0	LWL85m_rho	None	LWL85m_dS	0.023	LPB93	LPB93_dN	0.003	LPB93_dS	0.023	LPB93_w	0.1377	LWL85	LWL85_dN	0.003	LWL85_S	116437.0	LWL85_dS	0.029	LWL85_w	0.1048	LWL85_N	414274.0	NG86	NG86_dN	0.0029	NG86_omega	0.1042	NG86_dS	0.0277
SRR10957314	SRR8179089	YN00	YN00_dN	0.0024	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404747.4	YN00_S	125964.6	YN00_t	0.0245	YN00_omega	0.0894	YN00_dS	0.0267	LWL85m	LWL85m_dN	0.002	LWL85m_w	0.1185	LWL85m_N	387624.0	LWL85m_S	143087.0	LWL85m_rho	None	LWL85m_dS	0.022	LPB93	LPB93_dN	0.002	LPB93_dS	0.023	LPB93_w	0.1172	LWL85	LWL85_dN	0.002	LWL85_S	116430.0	LWL85_dS	0.028	LWL85_w	0.0902	LWL85_N	414281.0	NG86	NG86_dN	0.0024	NG86_omega	0.0892	NG86_dS	0.0268
SRR10957314	MG1065_maxbin_03	YN00	YN00_dN	0.0033	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404707.7	YN00_S	126004.3	YN00_t	0.0319	YN00_omega	0.0949	YN00_dS	0.0343	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1264	LWL85m_N	387103.0	LWL85m_S	143608.0	LWL85m_rho	None	LWL85m_dS	0.029	LPB93	LPB93_dN	0.003	LPB93_dS	0.029	LPB93_w	0.1249	LWL85	LWL85_dN	0.003	LWL85_S	116447.0	LWL85_dS	0.035	LWL85_w	0.0958	LWL85_N	414264.0	NG86	NG86_dN	0.0033	NG86_omega	0.0948	NG86_dS	0.0343
SRR10957314	MG1174_maxbin_9_sub	YN00	YN00_dN	0.005	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0006	YN00_N	404725.4	YN00_S	125986.6	YN00_t	0.0443	YN00_omega	0.1075	YN00_dS	0.0463	LWL85m	LWL85m_dN	0.005	LWL85m_w	0.1359	LWL85m_N	390040.0	LWL85m_S	140671.0	LWL85m_rho	None	LWL85m_dS	0.04	LPB93	LPB93_dN	0.005	LPB93_dS	0.04	LPB93_w	0.1362	LWL85	LWL85_dN	0.005	LWL85_S	116425.0	LWL85_dS	0.048	LWL85_w	0.1059	LWL85_N	414286.0	NG86	NG86_dN	0.005	NG86_omega	0.1075	NG86_dS	0.0462
SRR10957314	MG108_maxbin_1	YN00	YN00_dN	0.0029	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404698.7	YN00_S	126013.3	YN00_t	0.0297	YN00_omega	0.0908	YN00_dS	0.0323	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1188	LWL85m_N	389308.0	LWL85m_S	141403.0	LWL85m_rho	None	LWL85m_dS	0.027	LPB93	LPB93_dN	0.003	LPB93_dS	0.027	LPB93_w	0.1192	LWL85	LWL85_dN	0.003	LWL85_S	116445.0	LWL85_dS	0.033	LWL85_w	0.0919	LWL85_N	414266.0	NG86	NG86_dN	0.0029	NG86_omega	0.0907	NG86_dS	0.0323
SRR10957314	SRR10957307	YN00	YN00_dN	0.003	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404730.0	YN00_S	125982.0	YN00_t	0.0286	YN00_omega	0.0973	YN00_dS	0.0306	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1281	LWL85m_N	387891.0	LWL85m_S	142820.0	LWL85m_rho	None	LWL85m_dS	0.026	LPB93	LPB93_dN	0.003	LPB93_dS	0.026	LPB93_w	0.127	LWL85	LWL85_dN	0.003	LWL85_S	116438.0	LWL85_dS	0.032	LWL85_w	0.0978	LWL85_N	414273.0	NG86	NG86_dN	0.003	NG86_omega	0.0971	NG86_dS	0.0306
SRR10957314	MG32_maxbin_6	YN00	YN00_dN	0.0031	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404701.1	YN00_S	126010.9	YN00_t	0.0312	YN00_omega	0.0932	YN00_dS	0.0337	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1229	LWL85m_N	388038.0	LWL85m_S	142673.0	LWL85m_rho	None	LWL85m_dS	0.028	LPB93	LPB93_dN	0.003	LPB93_dS	0.029	LPB93_w	0.1217	LWL85	LWL85_dN	0.003	LWL85_S	116440.0	LWL85_dS	0.035	LWL85_w	0.094	LWL85_N	414271.0	NG86	NG86_dN	0.0031	NG86_omega	0.0931	NG86_dS	0.0337
SRR10957314	AP012332_1	YN00	YN00_dN	0.0028	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404737.9	YN00_S	125974.1	YN00_t	0.0281	YN00_omega	0.0903	YN00_dS	0.0306	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1214	LWL85m_N	386223.0	LWL85m_S	144488.0	LWL85m_rho	None	LWL85m_dS	0.025	LPB93	LPB93_dN	0.003	LPB93_dS	0.026	LPB93_w	0.12	LWL85	LWL85_dN	0.002	LWL85_S	116438.0	LWL85_dS	0.032	LWL85_w	0.0912	LWL85_N	414273.0	NG86	NG86_dN	0.0028	NG86_omega	0.0902	NG86_dS	0.0306
SRR10957314	ERR1045856	YN00	YN00_dN	0.003	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404721.0	YN00_S	125991.0	YN00_t	0.0309	YN00_omega	0.0898	YN00_dS	0.0336	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.119	LWL85m_N	387078.0	LWL85m_S	143633.0	LWL85m_rho	None	LWL85m_dS	0.028	LPB93	LPB93_dN	0.003	LPB93_dS	0.028	LPB93_w	0.1181	LWL85	LWL85_dN	0.003	LWL85_S	116433.0	LWL85_dS	0.035	LWL85_w	0.0901	LWL85_N	414278.0	NG86	NG86_dN	0.003	NG86_omega	0.0897	NG86_dS	0.0336
SRR10957314	ERR1045858	YN00	YN00_dN	0.0029	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404727.7	YN00_S	125984.3	YN00_t	0.0265	YN00_omega	0.1017	YN00_dS	0.028	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1323	LWL85m_N	387700.0	LWL85m_S	143011.0	LWL85m_rho	None	LWL85m_dS	0.024	LPB93	LPB93_dN	0.003	LPB93_dS	0.024	LPB93_w	0.1308	LWL85	LWL85_dN	0.003	LWL85_S	116429.0	LWL85_dS	0.029	LWL85_w	0.1008	LWL85_N	414282.0	NG86	NG86_dN	0.0028	NG86_omega	0.1015	NG86_dS	0.0281
SRR10957314	MG1397_maxbin_5	YN00	YN00_dN	0.0027	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404745.0	YN00_S	125967.0	YN00_t	0.026	YN00_omega	0.0972	YN00_dS	0.0278	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1297	LWL85m_N	386421.0	LWL85m_S	144290.0	LWL85m_rho	None	LWL85m_dS	0.023	LPB93	LPB93_dN	0.003	LPB93_dS	0.023	LPB93_w	0.1282	LWL85	LWL85_dN	0.002	LWL85_S	116433.0	LWL85_dS	0.029	LWL85_w	0.0976	LWL85_N	414278.0	NG86	NG86_dN	0.0027	NG86_omega	0.0971	NG86_dS	0.0278
SRR10957314	MG280_maxbin_4	YN00	YN00_dN	0.003	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404780.7	YN00_S	125931.3	YN00_t	0.0305	YN00_omega	0.09	YN00_dS	0.0332	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1167	LWL85m_N	389216.0	LWL85m_S	141495.0	LWL85m_rho	None	LWL85m_dS	0.028	LPB93	LPB93_dN	0.003	LPB93_dS	0.028	LPB93_w	0.1167	LWL85	LWL85_dN	0.003	LWL85_S	116427.0	LWL85_dS	0.034	LWL85_w	0.0902	LWL85_N	414284.0	NG86	NG86_dN	0.003	NG86_omega	0.09	NG86_dS	0.0332
SRR10957314	MG1284_maxbin_1	YN00	YN00_dN	0.0029	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404731.6	YN00_S	125980.4	YN00_t	0.0287	YN00_omega	0.0934	YN00_dS	0.031	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1229	LWL85m_N	387233.0	LWL85m_S	143478.0	LWL85m_rho	None	LWL85m_dS	0.026	LPB93	LPB93_dN	0.003	LPB93_dS	0.026	LPB93_w	0.1215	LWL85	LWL85_dN	0.003	LWL85_S	116419.0	LWL85_dS	0.032	LWL85_w	0.0932	LWL85_N	414292.0	NG86	NG86_dN	0.0029	NG86_omega	0.0932	NG86_dS	0.031
SRR10957314	ERR1045811	YN00	YN00_dN	0.0026	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404787.2	YN00_S	125924.8	YN00_t	0.0266	YN00_omega	0.091	YN00_dS	0.0289	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1248	LWL85m_N	383943.0	LWL85m_S	146768.0	LWL85m_rho	None	LWL85m_dS	0.024	LPB93	LPB93_dN	0.003	LPB93_dS	0.024	LPB93_w	0.1221	LWL85	LWL85_dN	0.002	LWL85_S	116430.0	LWL85_dS	0.03	LWL85_w	0.0918	LWL85_N	414281.0	NG86	NG86_dN	0.0026	NG86_omega	0.091	NG86_dS	0.0289
SRR10957314	ERR1939897	YN00	YN00_dN	0.003	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404766.7	YN00_S	125945.3	YN00_t	0.0299	YN00_omega	0.0926	YN00_dS	0.0324	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.124	LWL85m_N	385787.0	LWL85m_S	144924.0	LWL85m_rho	None	LWL85m_dS	0.027	LPB93	LPB93_dN	0.003	LPB93_dS	0.027	LPB93_w	0.1225	LWL85	LWL85_dN	0.003	LWL85_S	116433.0	LWL85_dS	0.034	LWL85_w	0.0927	LWL85_N	414278.0	NG86	NG86_dN	0.003	NG86_omega	0.0925	NG86_dS	0.0324
SRR10957314	MG163_maxbin_09	YN00	YN00_dN	0.0037	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0006	YN00_N	404717.7	YN00_S	125994.3	YN00_t	0.0393	YN00_omega	0.0862	YN00_dS	0.0432	LWL85m	LWL85m_dN	0.004	LWL85m_w	0.114	LWL85m_N	388077.0	LWL85m_S	142634.0	LWL85m_rho	None	LWL85m_dS	0.036	LPB93	LPB93_dN	0.004	LPB93_dS	0.037	LPB93_w	0.1135	LWL85	LWL85_dN	0.003	LWL85_S	116440.0	LWL85_dS	0.045	LWL85_w	0.0871	LWL85_N	414271.0	NG86	NG86_dN	0.0037	NG86_omega	0.0862	NG86_dS	0.0431
SRR10957314	MG343_maxbin_1	YN00	YN00_dN	0.0026	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404745.4	YN00_S	125966.6	YN00_t	0.0257	YN00_omega	0.0946	YN00_dS	0.0277	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1243	LWL85m_N	388450.0	LWL85m_S	142261.0	LWL85m_rho	None	LWL85m_dS	0.023	LPB93	LPB93_dN	0.002	LPB93_dS	0.023	LPB93_w	0.1235	LWL85	LWL85_dN	0.002	LWL85_S	116437.0	LWL85_dS	0.029	LWL85_w	0.0954	LWL85_N	414274.0	NG86	NG86_dN	0.0026	NG86_omega	0.0944	NG86_dS	0.0277
SRR10957314	MG736_maxbin_2	YN00	YN00_dN	0.0041	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0006	YN00_N	404742.3	YN00_S	125969.7	YN00_t	0.0402	YN00_omega	0.0947	YN00_dS	0.0433	LWL85m	LWL85m_dN	0.004	LWL85m_w	0.1227	LWL85m_N	388629.0	LWL85m_S	142082.0	LWL85m_rho	None	LWL85m_dS	0.037	LPB93	LPB93_dN	0.004	LPB93_dS	0.037	LPB93_w	0.1224	LWL85	LWL85_dN	0.004	LWL85_S	116433.0	LWL85_dS	0.045	LWL85_w	0.0943	LWL85_N	414278.0	NG86	NG86_dN	0.0041	NG86_omega	0.0948	NG86_dS	0.0432
SRR10957314	MG151_maxbin_2	YN00	YN00_dN	0.0032	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404726.8	YN00_S	125985.2	YN00_t	0.0327	YN00_omega	0.0906	YN00_dS	0.0356	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1173	LWL85m_N	388790.0	LWL85m_S	141922.0	LWL85m_rho	None	LWL85m_dS	0.03	LPB93	LPB93_dN	0.003	LPB93_dS	0.03	LPB93_w	0.1173	LWL85	LWL85_dN	0.003	LWL85_S	116427.0	LWL85_dS	0.037	LWL85_w	0.0903	LWL85_N	414284.0	NG86	NG86_dN	0.0032	NG86_omega	0.0905	NG86_dS	0.0356
SRR10957314	SRR10389210	YN00	YN00_dN	0.0024	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404748.5	YN00_S	125963.5	YN00_t	0.0245	YN00_omega	0.0894	YN00_dS	0.0267	LWL85m	LWL85m_dN	0.002	LWL85m_w	0.1185	LWL85m_N	387610.0	LWL85m_S	143101.0	LWL85m_rho	None	LWL85m_dS	0.022	LPB93	LPB93_dN	0.002	LPB93_dS	0.023	LPB93_w	0.1172	LWL85	LWL85_dN	0.002	LWL85_S	116429.0	LWL85_dS	0.028	LWL85_w	0.0902	LWL85_N	414282.0	NG86	NG86_dN	0.0024	NG86_omega	0.0892	NG86_dS	0.0267
SRR10957314	SRR5449043	YN00	YN00_dN	0.0024	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404747.8	YN00_S	125964.2	YN00_t	0.0245	YN00_omega	0.0895	YN00_dS	0.0267	LWL85m	LWL85m_dN	0.002	LWL85m_w	0.1186	LWL85m_N	387625.0	LWL85m_S	143086.0	LWL85m_rho	None	LWL85m_dS	0.022	LPB93	LPB93_dN	0.002	LPB93_dS	0.023	LPB93_w	0.1173	LWL85	LWL85_dN	0.002	LWL85_S	116429.0	LWL85_dS	0.028	LWL85_w	0.0903	LWL85_N	414282.0	NG86	NG86_dN	0.0024	NG86_omega	0.0893	NG86_dS	0.0268
SRR10957314	MG1066_maxbin_09	YN00	YN00_dN	0.0033	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404708.6	YN00_S	126003.4	YN00_t	0.0317	YN00_omega	0.0956	YN00_dS	0.034	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1274	LWL85m_N	386995.0	LWL85m_S	143716.0	LWL85m_rho	None	LWL85m_dS	0.028	LPB93	LPB93_dN	0.003	LPB93_dS	0.029	LPB93_w	0.1259	LWL85	LWL85_dN	0.003	LWL85_S	116447.0	LWL85_dS	0.035	LWL85_w	0.0965	LWL85_N	414264.0	NG86	NG86_dN	0.0032	NG86_omega	0.0955	NG86_dS	0.034
